Call Center ID,Operator Name,Issue Type,Response Time (mins),Call Time and Date,Number of Calls Daily
8bceb32c-ad4c-4cd8-829a-37eed9348f2b,Julia Jones,Accident,11,2024-03-28 00:00:00.024040,1128
33bf49df-7a81-4dbf-b763-438147fc1538,Carrie Quinn,Road Block,5,2024-02-29 00:00:00.120438,1246
d3f03ad6-c1b9-4c81-829e-c9d45cfe56e9,Dean Young,Transport Query,1,2024-03-03 00:00:00.395831,1490
8a18e038-d64f-4e58-9832-ccbd4f8a3542,Jon Ward,Complaint,17,2024-06-03 00:00:00.260661,1745
753856bb-ecef-4bb5-8a6c-b0988bea9788,Mary Allen,Accident,27,2024-03-28 00:00:00.039488,1128
4b0b0534-f5c0-4c8e-8faf-0a2dab58448c,Ralph David,Traffic Signal Fault,26,2024-01-21 00:00:00.035446,1675
5f94fe8a-e244-492a-86a2-7909112d357f,Jon Ward,Transport Query,17,2024-06-04 00:00:00.998020,1137
9d8f16ce-5b17-4a1f-8b00-edad07a5315c,Robert Bell,Toll Issue,3,2024-01-03 00:00:00.560292,1459
1c395bc0-9134-4558-89c7-c720da8a5466,Nancy Dawson,Traffic Signal Fault,18,2024-01-06 00:00:00.208313,1026
0f7cdba5-e57c-4713-9447-dea786240471,Shannon Simpson MD,Toll Issue,1,2024-04-10 00:00:00.558317,1646
c015fc7f-1ce5-4c10-8527-2cfb25434420,Jerry Johnson,Complaint,13,2024-01-09 00:00:00.837349,1869
b245668f-7c70-4cb2-98e1-777dd2010fba,Samantha Holland,Road Block,24,2024-04-10 00:00:00.636605,1646
f2bb56aa-f9eb-459f-8406-4b4c36d02e5b,Samantha Holland,Traffic Signal Fault,26,2024-02-21 00:00:00.986814,1036
ca0ca9bb-d572-4891-8855-5b68635fb1da,Ralph David,Traffic Signal Fault,2,2024-03-28 00:00:00.500736,1128
fd803989-0371-499f-b6bf-d50b56aecdf5,Shawn Moses,Complaint,5,2024-03-28 00:00:00.180112,1128
d2619240-588b-4298-9aa3-490801fdf805,Matthew Keller,Road Block,13,2024-03-08 00:00:00.236337,1654
bec51046-792c-41a5-bd02-79a2d38f5f80,Keith Preston,Toll Issue,22,2024-01-31 00:00:00.963899,1559
c340a15f-e754-4c80-bc03-f9ccadd44e1d,Joanne Allen,Road Block,7,2024-05-05 00:00:00.397531,1992
233f74e3-e7b0-42f9-a37f-d535359a2533,Jon Ward,Toll Issue,14,2024-01-31 00:00:00.034408,1559
5bba3c34-dfff-43f6-8b56-ca5f47b6ec7c,Robert Bell,Road Block,17,2024-06-22 00:00:00.135988,1280
e5bf8f60-a599-42af-a6ce-f552c8ec867f,Nicole Stone,Accident,27,2024-04-10 00:00:00.913896,1646
313b1d3a-deb0-42d7-85da-4ef6d2cd8390,Mr. Richard Robinson Jr.,Traffic Signal Fault,24,2024-03-22 00:00:00.994614,1491
57df4e76-b952-44e5-aed8-4e503dff96c8,Benjamin Hammond,Accident,24,2024-04-10 00:00:00.941367,1646
b00bc668-64d6-4d27-ae77-e517899fe19b,Jessica Nunez,Accident,11,2024-04-10 00:00:00.388908,1646
bbd0b8f9-09b5-4738-8ebe-dff6ce22de86,Jennifer Stanley,Road Block,3,2024-06-22 00:00:00.791973,1280
3eea6b7a-c02e-4b11-8b4a-f7b551508791,Morgan Valdez,Toll Issue,2,2024-03-03 00:00:00.641253,1490
c1dfdef1-1912-4b0f-bc68-0be468662fd5,Jason Thompson,Accident,1,2024-03-22 00:00:00.863624,1491
7cb4115b-c28e-4bd8-981c-dadab1e5b6ed,Susan Turner,Accident,11,2024-05-05 00:00:00.062953,1992
e99fdbda-d04c-4f0f-bc8c-2734907d15d2,Keith Durham,Traffic Signal Fault,24,2024-06-22 00:00:00.745055,1280
4849a780-2533-420e-b288-71526315b36b,Jeffrey Harding,Toll Issue,1,2024-04-26 00:00:00.194031,1889
9c9d7eeb-244e-4efc-849e-56b756191cb2,Keith Durham,Road Block,14,2024-01-14 00:00:00.099092,1090
632105eb-0bd6-4b40-9c99-1972260de742,Stephanie Ortega,Toll Issue,18,2024-02-01 00:00:00.515819,1853
b07e8ec4-b522-4d8a-bc99-c4976f5ae3e8,Samantha Holland,Road Block,3,2024-03-18 00:00:00.908538,1052
a1feab61-b7ca-44b3-b337-cd2c2d16635d,Regina Conley,Traffic Signal Fault,27,2024-01-03 00:00:00.250983,1459
dae8e066-ed4f-42c5-8bfe-b9455f75058c,Shannon Simpson MD,Toll Issue,3,2024-02-01 00:00:00.032526,1853
619a6209-f2a9-4971-a0a5-2c163bf4d1fc,Andrew Boyer,Accident,29,2024-03-03 00:00:00.660397,1490
9c3b0998-5514-4fc7-9586-4c1a3d7532eb,Mr. Richard Robinson Jr.,Transport Query,12,2024-01-03 00:00:00.918396,1459
47e4ea42-09c6-4bc8-87b1-1a73ac4b295a,Richard Pugh,Accident,5,2024-02-09 00:00:00.423779,1632
db802530-6a23-442c-92e2-718cecf7e919,Jennifer Stanley,Traffic Signal Fault,17,2024-02-09 00:00:00.395503,1632
a866656d-529f-467b-8e3c-2f8ae2c596ae,Mr. Richard Robinson Jr.,Complaint,25,2024-04-10 00:00:00.819228,1646
024568b7-edca-4906-98c2-d6c23fc72952,Susan Turner,Toll Issue,5,2024-01-21 00:00:00.331042,1675
ebd1bf1f-0c39-4f3e-98c7-c640812f2ad2,Andrew Boyer,Toll Issue,10,2024-01-23 00:00:00.036647,1688
22576f39-94ec-430f-8737-e7ab688a2931,Jonathan Hopkins,Road Block,19,2024-03-22 00:00:00.114745,1491
b8846904-4c77-4157-946f-31c352ced917,Morgan Valdez,Road Block,16,2024-01-21 00:00:00.612933,1675
03d0c7ee-20d4-4413-af6e-4411b9de1c48,Cameron Cordova,Traffic Signal Fault,17,2024-01-03 00:00:00.710899,1459
58fe82b8-68b5-4b3b-8b54-9f934b997e07,Stacey Lambert,Road Block,22,2024-06-20 00:00:00.251965,1903
1bcf64af-28fd-4dee-a336-c4f54505b896,Keith Durham,Accident,20,2024-05-05 00:00:00.838952,1992
c92ec4da-192c-43ef-96aa-48e05fe0320d,Morgan Valdez,Transport Query,1,2024-01-23 00:00:00.488663,1688
84db0b8d-10f5-47f2-b565-6354f963797b,Jon Ward,Road Block,16,2024-02-01 00:00:00.348790,1853
42d5e4cf-d903-4dee-97ef-59cf77875288,Joshua Jones,Accident,3,2024-01-03 00:00:00.232106,1459
12b64019-bb22-4904-b9db-f6b4e8f6e561,Shannon Simpson MD,Accident,7,2024-04-26 00:00:00.968704,1889
a92acbaf-ee96-46eb-a76a-3896c3150f97,Julia Jones,Accident,18,2024-01-31 00:00:00.165608,1559
85ae9cea-37db-43de-a616-d0ac4e5ac8b3,Carrie Quinn,Traffic Signal Fault,28,2024-06-22 00:00:00.891013,1280
14f3f942-e811-4c9c-992b-79e7af7267d0,Hailey Hopkins,Complaint,8,2024-01-23 00:00:00.589730,1688
555c467c-cf06-48d2-b234-1d86e1ab4048,Richard Pugh,Accident,7,2024-03-03 00:00:00.715898,1490
0cf3c563-1bd2-4111-a334-9a03c80bb384,Christine Christensen,Transport Query,22,2024-05-05 00:00:00.884918,1992
83867e32-b22c-48ff-95b2-fe4fe1d43cd9,Krista Taylor,Road Block,3,2024-03-03 00:00:00.838578,1490
8b0f3e9b-4d14-489e-8e41-f204b0e77af0,David Price,Accident,29,2024-01-21 00:00:00.557101,1675
b647f1a6-958d-4ba9-9a13-c820a1a98034,Dean Young,Traffic Signal Fault,28,2024-01-31 00:00:00.543565,1559
7e26818d-d3a3-491d-b783-d1a381f19a1e,Joshua Jones,Complaint,11,2024-06-03 00:00:00.152155,1745
db58e0c8-0a3f-43cb-9633-bb2d537460ba,Nancy Dawson,Road Block,9,2024-01-14 00:00:00.965096,1090
aff72e4f-467c-4bec-9bb6-ae1d7d794136,Joshua Jones,Transport Query,5,2024-01-21 00:00:00.682692,1675
5a5d1bb1-1f1d-4fed-946d-21db417a3859,Jeffrey Harding,Traffic Signal Fault,11,2024-01-21 00:00:00.890909,1675
e4a9cfa9-9d96-4908-9dc7-50f22a14ebd2,Joshua Jones,Toll Issue,6,2024-01-09 00:00:00.861845,1869
aa19e857-b347-4974-bee8-ea5cc9d01c54,Keith Durham,Toll Issue,24,2024-03-22 00:00:00.663169,1491
33ddc790-a304-4081-b75b-2afbcbce4095,Keith Durham,Accident,14,2024-02-29 00:00:00.546011,1246
86309ee0-12d8-48a3-a17c-8f641417e917,Joseph Gray,Toll Issue,4,2024-02-21 00:00:00.428366,1036
a15cc9dd-8712-4169-9d0b-f74ca8274051,Stephanie Ortega,Accident,17,2024-03-24 00:00:00.558401,1503
203a668d-ddf4-411a-9ac6-f19f9a4a35fd,Kristina Werner,Accident,10,2024-01-06 00:00:00.074495,1026
e8eb42dd-2b4d-4235-8eb2-ea090dfcac40,Cameron Cordova,Road Block,10,2024-01-31 00:00:00.094438,1559
91dcc85a-93ba-429b-9cec-5ce8e94f1e14,Erik Webb,Traffic Signal Fault,11,2024-02-21 00:00:00.927340,1036
10a0a3b4-dfda-449d-ad04-f8599c3c7469,Nicole Stone,Accident,13,2024-01-03 00:00:00.044664,1459
acaa3434-0e4b-41f4-9ed5-c2a8a2f179ce,Benjamin Hammond,Traffic Signal Fault,30,2024-01-21 00:00:00.121529,1675
5e7e2a7d-cbd0-4ce9-a539-44778823d922,David Price,Toll Issue,19,2024-01-23 00:00:00.949170,1688
b13af70b-01db-4c6d-9579-ac64c6d04faf,Julia Jones,Accident,1,2024-01-03 00:00:00.132228,1459
fccde4fe-2b96-4bba-9c0a-b5e9b08e70c2,Joanne Allen,Complaint,6,2024-06-03 00:00:00.231374,1745
c0764a7e-e344-4034-b39b-6a1b1ee5163f,Andrew Boyer,Toll Issue,19,2024-01-06 00:00:00.095225,1026
05573a1d-2c32-4bc4-8554-5f4293e7985e,Shannon Simpson MD,Toll Issue,21,2024-03-18 00:00:00.239542,1052
22fa25fe-57ba-4500-929e-84338a3f7752,Hailey Hopkins,Complaint,8,2024-01-06 00:00:00.665066,1026
c8907e41-43ce-4812-a4bc-969c5aa9eb8a,Stacey Lambert,Accident,18,2024-01-23 00:00:00.043859,1688
03038a0e-2626-4c11-9a3e-52613cbee4ce,Krista Taylor,Traffic Signal Fault,25,2024-02-01 00:00:00.106457,1853
71d28bbc-fc64-4718-acd5-260b0fa9ce95,Kristina Werner,Complaint,10,2024-01-31 00:00:00.552658,1559
43d5b185-7efa-4b98-b27b-ada0f93bbd5c,Benjamin Hammond,Accident,7,2024-06-22 00:00:00.986836,1280
0d05baef-5818-4abc-9375-030f95a48af1,Cynthia Freeman,Transport Query,29,2024-01-09 00:00:00.116782,1869
dcd17df0-246f-446e-9df8-d21391139926,Richard Pugh,Toll Issue,6,2024-03-24 00:00:00.403185,1503
31d91e18-655d-4839-8a09-e4427cabf26f,Regina Conley,Road Block,10,2024-06-04 00:00:00.899028,1137
4a745a65-99a4-414d-9263-62d3292f186f,Jennifer Stanley,Traffic Signal Fault,29,2024-02-01 00:00:00.401020,1853
fc2de9b6-185a-4c43-8b09-4fcdd213447a,Richard Pugh,Toll Issue,4,2024-04-10 00:00:00.877097,1646
a85ba829-faed-461b-9e53-ef36c2d13a1c,Stacey Lambert,Transport Query,4,2024-02-21 00:00:00.445093,1036
13ff9cd3-7982-4be4-a1be-7880d71e25f1,Shawn Moses,Toll Issue,27,2024-06-20 00:00:00.232449,1903
1cb68a96-c86d-4698-b616-775bfe0fcc95,Benjamin Hammond,Traffic Signal Fault,22,2024-03-03 00:00:00.160608,1490
45aeb53f-6b76-4c46-b716-ce4385c49ac9,Jonathan Hopkins,Complaint,18,2024-03-29 00:00:00.625380,1686
e71f1b6d-c09f-4548-ba1c-65db06440b8d,Carrie Quinn,Toll Issue,3,2024-04-26 00:00:00.215012,1889
11dfbc2f-c432-4ab9-951d-3c08be8c9483,Joshua Jones,Road Block,14,2024-02-01 00:00:00.126555,1853
445eec63-dedd-4b3b-853a-9f7588fd4828,Jason Thompson,Transport Query,21,2024-03-29 00:00:00.796651,1686
b12218a8-6fb0-444d-b390-13a7bb559d1a,Mr. Richard Robinson Jr.,Road Block,13,2024-03-18 00:00:00.306499,1052
b5411d8a-ad38-4de5-99f5-d59fd994fdba,Shannon Simpson MD,Transport Query,19,2024-02-09 00:00:00.841941,1632
1b0bd493-6949-4d98-8574-674fa3a58cc3,Regina Conley,Road Block,3,2024-02-09 00:00:00.835471,1632
48c21a01-fb44-4173-8710-6ac34a9b3801,Jeffrey Harding,Complaint,16,2024-05-05 00:00:00.564056,1992
a86fd47d-38b5-432a-b059-ba933065c43a,Julia Jones,Accident,20,2024-04-26 00:00:00.120385,1889
be7b4f4d-5918-4141-9de2-8f4d86f6f895,Joshua Jones,Accident,6,2024-01-03 00:00:00.661023,1459
23ff95a6-1df1-4438-9e80-9c1cc0480ca9,Julia Jones,Complaint,6,2024-01-06 00:00:00.921376,1026
534220f3-305e-4ab0-ade9-4682c31fe2f6,Ralph David,Toll Issue,6,2024-03-08 00:00:00.443782,1654
23fbd661-301a-4ca1-8ef0-81538665916a,Keith Durham,Road Block,21,2024-01-09 00:00:00.859071,1869
8c6e8c46-8944-4f87-bfbb-eff274f19c4d,Carrie Quinn,Traffic Signal Fault,22,2024-06-03 00:00:00.429358,1745
ec98b89b-59ad-49a5-b70a-0a782ed768ee,Stephanie Ortega,Complaint,9,2024-03-18 00:00:00.305981,1052
303efa19-63e3-486e-bfa8-b16c64ab6bd6,Jerry Johnson,Transport Query,6,2024-01-31 00:00:00.826517,1559
58585e06-a236-4dd1-a8b8-a9374c806689,Stacey Lambert,Toll Issue,8,2024-04-10 00:00:00.314249,1646
a7757700-8f10-401d-b41f-af046d7a7396,Jason Thompson,Toll Issue,9,2024-02-01 00:00:00.337311,1853
3b03b466-d64e-43f1-b533-025e4f118094,Kenneth Wells,Transport Query,6,2024-03-22 00:00:00.134349,1491
509b731a-4d1e-4359-abc2-c8c8ba4f3904,Jeffrey Harding,Traffic Signal Fault,3,2024-04-10 00:00:00.231155,1646
80c2572e-4503-46d9-b8a6-997e099bd102,Matthew Keller,Traffic Signal Fault,21,2024-01-03 00:00:00.361940,1459
453a6109-0d81-44fa-8274-9938ceae83ed,Jonathan Hopkins,Transport Query,23,2024-01-03 00:00:00.823775,1459
db04714c-54f6-48b9-a7d8-0e8734e10ce6,Hailey Hopkins,Toll Issue,14,2024-06-22 00:00:00.535440,1280
442a6cd5-f661-4cdf-b890-702a44fab8bd,Carrie Quinn,Traffic Signal Fault,17,2024-01-21 00:00:00.087256,1675
6231595b-8d3f-48de-b0eb-b4827153bf18,Jerry Johnson,Toll Issue,7,2024-04-26 00:00:00.084884,1889
87be256f-3f22-4285-a030-2db74c86cb25,Mr. Richard Robinson Jr.,Toll Issue,3,2024-02-29 00:00:00.130447,1246
4ce54da7-65e0-4aef-90a4-d8c07f1baa44,Erik Webb,Traffic Signal Fault,25,2024-06-22 00:00:00.810927,1280
a1c8b312-e4a1-46f7-8b54-188296b7657e,Dean Young,Toll Issue,6,2024-03-22 00:00:00.170503,1491
abc72219-46ea-44ec-b104-7d57f887b529,Keith Preston,Traffic Signal Fault,19,2024-03-18 00:00:00.456760,1052
697b1f7b-8294-4366-aeca-dbc72bd8fe67,Jennifer Stanley,Complaint,11,2024-03-29 00:00:00.975958,1686
31553d7a-bf1f-440c-abf5-c1717910b26b,Matthew Robinson,Toll Issue,22,2024-06-22 00:00:00.028950,1280
ef2d8160-9bbf-40cc-bfef-01b081309498,Dean Young,Traffic Signal Fault,13,2024-05-05 00:00:00.001591,1992
2ceb37f7-85c6-4810-b8f9-6c8eef25bcdc,Erik Webb,Traffic Signal Fault,27,2024-06-20 00:00:00.140416,1903
ee49d722-4cd8-4c62-af21-4702e82ab3f1,Joshua Jones,Road Block,15,2024-03-08 00:00:00.698441,1654
b159c9c5-423c-45c1-ae3e-5efae3971f04,Shannon Simpson MD,Traffic Signal Fault,11,2024-04-10 00:00:00.761952,1646
d268a977-d1fe-4a8b-b173-9969093491c2,Michael Gonzalez,Transport Query,25,2024-04-26 00:00:00.249819,1889
5a1d1f4d-b6b3-4b49-846f-af94e08ec7f3,Shawn Moses,Toll Issue,19,2024-01-23 00:00:00.648397,1688
